htgrk,htypek,gtypek,grunntype
L,L-1,L1-E-5,L1-E-5  in­ter­me­diær ­til ­litt kalk­rik ­fast elve­bunn ­med s­ter­k ­strøm
L,L-1,L1-E-6,L1-E-6  kalk­rik ­fast elve­bunn ­med s­ter­k ­strøm
L,L-1,L1-E-7,L1-E-7  klar ­til hu­møs kalk­fat­tig ­fast inn­sjø- og ro­lig elve­bunn
L,L-2,L2-E-1,L2-E-1  svær­t kalk­fat­tig sand og ­grus­bunn
L,L-2,L2-E-10,L2-E-10  litt kalk­fat­tig ­til in­ter­me­diær stein­bunn
L,L-2,L2-E-11,L2-E-11  litt kalk­fat­tig ­til in­ter­me­diær ­or­ga­nisk ­løs­bunn
L,L-2,L2-E-12,L2-E-12  litt kalk­fat­tig ­til in­ter­me­diær ­myr­torv­bunn
L,L-2,L2-E-13,L2-E-13  kalk­rik sand- og ­grus­bunn
L,L-2,L2-E-14,L2-E-14  kalk­rik ­løs­bunn
L,L-2,L2-E-15,L2-E-15  kalk­rik ­leir­bunn
L,L-2,L2-E-16,L2-E-16  kalk­rik stein­bunn
L,L-2,L2-E-17,L2-E-17  dis­rup­tiv ­se­di­men­ta­sjons­bunn
L,L-2,L2-E-18,L2-E-18  kalk­rik ­or­ga­nisk ­løs­bunn
L,L-2,L2-E-19,L2-E-19  kalk­rik ­myr­torv­bunn
L,L-2,L2-E-2,L2-E-2  svær­t kalk­fat­tig ­løs­bunn
L,L-2,L2-E-3,L2-E-3  svær­t kalk­fat­tig stein­bunn
L,L-2,L2-E-4,L2-E-4  svær­t kalk­fat­tig ­or­ga­nisk ­løs­bunn
L,L-2,L2-E-5,L2-E-5  svær­t kalk­fat­tig ­myr­torv­bunn
L,L-2,L2-E-6,L2-E-6  høl­je­gjøl­bunn
L,L-2,L2-E-7,L2-E-7  litt kalk­fat­tig ­til in­ter­me­diær sand- og ­grus­bunn
L,L-2,L2-E-8,L2-E-8  litt kalk­fat­tig ­til in­ter­me­diær ­løs­bunn
L,L-2,L2-E-9,L2-E-9  litt kalk­fat­tig ­til in­ter­me­diær kalk­fat­tig ­leir­bunn
L,L-3,L3-E-1,L3-E-1  kalk­fat­tig og in­ter­me­diær ­dyp ­se­di­ment­bunn
L,L-3,L3-E-2,L3-E-2  kalk­rik ­dyp ­se­di­ment­bunn
L,L-4,L4-E-1,L4-E-1  kalk­fat­tig he­l­o­fytt­sump
L,L-4,L4-E-2,L4-E-2  litt kalk­fat­tig ­til in­ter­me­diær he­l­o­fytt­sump
L,L-4,L4-E-3,L4-E-3  kalk­rik he­l­o­fytt­sump
L,L-5,L5-E-1,L5-E-1  litt kalk­fat­tig og in­ter­me­diær ­grunn­kil­de
L,L-5,L5-E-2,L5-E-2  litt kalk­fat­tig og in­ter­me­diær torv­mark­s­kil­de
L,L-5,L5-E-3,L5-E-3  litt kalk­fat­tig og in­ter­me­diær inn­sjø- og elve­kil­de
L,L-5,L5-E-4,L5-E-4  kalk­rik ­grunn­kil­de
L,L-6,L6-E-1,L6-E-1  pe­rio­disk an­ok­sisk inn­sjø­bunn
L,L-6,L6-E-2,L6-E-2  an­ok­sisk inn­sjø­bunn
L,L-7,L7-E-1,L7-E-1  sterk­t re­gu­ler­t el­ler ­ny ­fast inn­sjø­bunn
L,L-7,L7-E-2,L7-E-2  sterk­t re­gu­ler­t el­ler ­ny ­fast elve­bunn
L,L-7,L7-E-3,L7-E-3  ned­dem­t na­ken­t ­berg
L,L-8,L8-E-1,L8-E-1  inn­sjø­bunn som er sterk­t ­endret ved­ ­de­po­ne­ring el­ler ut­tak av ­mas­ser
L,L-8,L8-E-2,L8-E-2  elve­bunn som er sterk­t ­endret ved­ ­de­po­ne­ring el­ler ut­tak av ­mas­ser
L,L-8,L8-E-3,L8-E-3  bunn ­med sterk­t ­av­vi­ken­de kje­misk ­sam­men­set­ning
L,L-8,L8-E-4,L8-E-4  sterk­t ­endret ­grunn­kilde­bunn
L,L-8,L8-E-5,L8-E-5  sterk­t re­gu­ler­t inn­sjø­bunn
L,L-8,L8-E-6,L8-E-6  sterk­t re­gu­ler­t elve­bunn
L,L-8,L8-E-7,L8-E-7  ned­dem­t jord­dek­t ­fast­mar­k og andre ­løs­mas­ser
L,L-8,L8-E-8,L8-E-8  ned­dem­t torv­mark
M,M-1,M1-E-1,M1-E-1  grønn­al­ge­bunn
M,M-1,M1-E-10,M1-E-10  noks­å ­brakk ­be­skyt­tet in­fra­li­to­ral ­fast­bunn
M,M-1,M1-E-11,M1-E-11  noks­å ­brakk ­be­skyt­tet øv­re cir­ca­li­to­ral ­fast­bunn
M,M-1,M1-E-12,M1-E-12  noks­å ­brakk noks­å ­eks­po­ner­t in­fra­li­to­ral ­fast­bunn
M,M-1,M1-E-13,M1-E-13  noks­å ­brakk noks­å ­eks­po­ner­t øv­re cir­ca­li­to­ral ­fast­bunn
M,M-1,M1-E-14,M1-E-14  svær­t ­brakk s­vær­t ­be­skyt­tet ­fast al­ge­bunn
M,M-1,M1-E-15,M1-E-15  svær­t ­brakk ­be­skyt­tet-­eks­po­ner­t ­fast tare­skogs­-al­ge­bunn
M,M-1,M1-E-16,M1-E-16  svær­t ­be­skyt­tet ­berg­veg­g un­der ­sub­li­to­ral
M,M-1,M1-E-17,M1-E-17  be­skyt­tet-­eks­po­ner­t ­sub­li­to­ral ­berg­vegg
M,M-1,M1-E-18,M1-E-18  be­skyt­tet-­eks­po­ner­t ­berg­veg­g un­der ­sub­li­to­ral
M,M-1,M1-E-19,M1-E-19  Berg­veg­g i s­ter­k ­tide­vanns­strøm
M,M-1,M1-E-2,M1-E-2  rø­dal­ge­bunn
M,M-1,M1-E-20,M1-E-20  svær­t ­be­skyt­tet noks­å ­brakk ­berg­vegg
M,M-1,M1-E-21,M1-E-21  be­skyt­tet-­eks­po­ner­t noks­å ­brakk ­berg­veg­g i ­sub­li­to­ral
M,M-1,M1-E-22,M1-E-22  be­skyt­tet-­eks­po­ner­t noks­å ­brakk ­berg­veg­g un­der ­sub­li­to­ral
M,M-1,M1-E-23,M1-E-23  svær­t ­brakk ­berg­vegg
M,M-1,M1-E-24,M1-E-24  svær­t ­be­skyt­tet ­blokk­do­mi­ner­t ­bunn un­der ­sub­li­to­ral
M,M-1,M1-E-25,M1-E-25  be­skyt­tet-­eks­po­ner­t ­blokk­do­mi­ner­t ­bunn i ­sub­li­to­ral
M,M-1,M1-E-26,M1-E-26  be­skyt­tet-­eks­po­ner­t ­blokk­do­mi­ner­t ­bunn un­der ­sub­li­to­ral
M,M-1,M1-E-27,M1-E-27  svær­t ­eks­po­ner­t ­blokk­do­mi­ner­t ­bunn
M,M-1,M1-E-28,M1-E-28  be­skyt­tet-­eks­po­ner­t noks­å ­brakk ­blokk­do­mi­ner­t ­bunn un­der­sub­li­to­ral
M,M-1,M1-E-29,M1-E-29  blokk­do­mi­ner­t ­bunn pre­get av ­dis­rup­tiv is­for­styr­rel­se
M,M-1,M1-E-3,M1-E-3  suk­kertare­skog
