pid,minorType_id,standardSegment_id
425,M4-10,M4-SA.de
426,M4-10,M4-TV.0
427,M4-10,M4-S3S.a
428,M4-11,M4-DL.abc
429,M4-11,M4-SA.de
430,M4-11,M4-TV.0
431,M4-11,M4-S3S.b
432,M4-12,M4-DL.d
433,M4-12,M4-SA.de
434,M4-12,M4-S3E.0a
435,M4-12,M4-S3E.b
436,M4-12,M4-S3F.0a
437,M4-13,M4-DL.d
438,M4-13,M4-SA.de
439,M4-13,M4-S3E.0a
440,M4-13,M4-S3F.¤
441,M4-14,M4-DL.d
442,M4-14,M4-SA.de
443,M4-14,M4-S3E.c
444,M4-14,M4-S3E.d
445,M4-14,M4-S3E.e
446,M4-14,M4-S3F.0a
447,M4-15,M4-DL.d
448,M4-15,M4-SA.de
449,M4-15,M4-S3E.b
450,M4-15,M4-S3E.c
451,M4-15,M4-S3E.d
452,M4-15,M4-S3F.bc
453,M4-16,M4-DL.d
454,M4-16,M4-SA.de
455,M4-16,M4-S3E.b
456,M4-16,M4-S3E.c
457,M4-16,M4-S3E.d
458,M4-16,M4-S3F.¤
459,M4-17,M4-DL.d
460,M4-17,M4-SA.de
461,M4-17,M4-S3E.e
462,M4-17,M4-S3F.¤
463,M4-18,M4-DL.d
464,M4-18,M4-SA.de
465,M4-18,M4-S3E.0a
466,M4-18,M4-S3F.¤
467,M4-18,M4-IO.¤
468,M4-19,M4-DL.d
469,M4-19,M4-SA.de
470,M4-19,M4-S3S.a
471,M4-20,M4-DL.d
472,M4-20,M4-SA.de
473,M4-20,M4-S3S.b
474,M4-21,M4-DL.abc
475,M4-21,M4-SA.abc
476,M4-21,M4-TV.0
477,M4-21,M4-S3E.0a
478,M4-21,M4-S3E.b
479,M4-21,M4-S3F.0a
480,M4-22,M4-DL.abc
481,M4-22,M4-SA.abc
482,M4-22,M4-TV.0
483,M4-22,M4-S3E.0a
484,M4-22,M4-S3F.¤
485,M4-23,M4-DL.abc
486,M4-23,M4-SA.abc
487,M4-23,M4-TV.0
488,M4-23,M4-S3E.b
489,M4-23,M4-S3E.c
490,M4-23,M4-S3F.bc
491,M4-24,M4-DL.abc
492,M4-24,M4-SA.abc
493,M4-24,M4-TV.0
494,M4-24,M4-S3E.b
495,M4-24,M4-S3E.c
496,M4-24,M4-S3E.d
497,M4-24,M4-S3E.e
498,M4-24,M4-S3F.¤
499,M4-25,M4-DL.abc
500,M4-25,M4-SA.abc
501,M4-25,M4-TV.0
502,M4-25,M4-S3E.c
503,M4-25,M4-S3E.d
504,M4-25,M4-S3E.e
505,M4-25,M4-S3F.0a
506,M4-26,M4-DL.abc
507,M4-26,M4-SA.abc
508,M4-26,M4-TV.0
509,M4-26,M4-S3E.d
510,M4-26,M4-S3F.bc
511,M4-27,M4-DL.abc
512,M4-27,M4-SA.abc
513,M4-27,M4-TV.0
514,M4-27,M4-S3E.0a
515,M4-27,M4-S3F.¤
516,M4-27,M4-IO.¤
517,M4-28,M4-DL.abc
518,M4-28,M4-SA.abc
519,M4-28,M4-TV.0
520,M4-28,M4-S3E.0a
521,M4-28,M4-S3F.¤
522,M4-28,M4-KA.hi
523,M4-29,M4-DL.abc
524,M4-29,M4-SA.de
525,M4-29,M4-TV.ab
526,M4-29,M4-S3E.0a
527,M4-29,M4-S3E.b
528,M4-29,M4-S3F.0a
529,M4-30,M4-DL.abc
530,M4-30,M4-SA.de
531,M4-30,M4-TV.ab
532,M4-30,M4-S3E.0a
533,M4-30,M4-S3F.¤
534,M4-31,M4-DL.abc
535,M4-31,M4-SA.de
536,M4-31,M4-TV.ab
537,M4-31,M4-S3E.b
538,M4-31,M4-S3E.c
539,M4-31,M4-S3F.bc
540,M4-32,M4-DL.abc
541,M4-32,M4-SA.de
542,M4-32,M4-TV.ab
543,M4-32,M4-S3E.b
544,M4-32,M4-S3E.c
545,M4-32,M4-S3F.¤
546,M4-33,M4-DL.abc
547,M4-33,M4-SA.de
548,M4-33,M4-TV.ab
549,M4-33,M4-S3E.c
550,M4-33,M4-S3F.0a
551,M4-34,M4-DL.abc
552,M4-34,M4-SA.de
553,M4-34,M4-TV.ab
554,M4-34,M4-S3E.d
555,M4-34,M4-S3E.e
556,M4-34,M4-S3F.0a
557,M4-35,M4-DL.abc
558,M4-35,M4-SA.de
559,M4-35,M4-TV.ab
560,M4-35,M4-S3E.d
561,M4-35,M4-S3F.¤
562,M4-36,M4-DL.abc
563,M4-36,M4-SA.de
564,M4-36,M4-TV.ab
565,M4-36,M4-S3E.0a
566,M4-36,M4-S3F.¤
567,M4-36,M4-IO.¤
568,M4-37,M4-DL.abc
569,M4-37,M4-SA.de
570,M4-37,M4-TV.ab
571,M4-37,M4-S3S.a
572,M4-38,M4-DL.abc
573,M4-38,M4-SA.abc
574,M4-38,M4-TV.ab
575,M4-38,M4-S3E.0a
576,M4-38,M4-S3E.b
577,M4-38,M4-S3F.0a
578,M4-39,M4-DL.abc
579,M4-39,M4-SA.abc
580,M4-39,M4-TV.ab
581,M4-39,M4-S3E.0a
582,M4-39,M4-S3F.¤
583,M4-40,M4-DL.abc
584,M4-40,M4-SA.abc
585,M4-40,M4-TV.ab
586,M4-40,M4-S3E.b
587,M4-40,M4-S3E.c
588,M4-40,M4-S3F.bc
589,M4-41,M4-DL.abc
590,M4-41,M4-SA.abc
591,M4-41,M4-TV.ab
592,M4-41,M4-S3E.b
593,M4-41,M4-S3E.c
594,M4-41,M4-S3F.¤
595,M4-42,M4-DL.abc
596,M4-42,M4-SA.abc
597,M4-42,M4-TV.ab
598,M4-42,M4-S3E.d
599,M4-42,M4-S3F.¤
600,M4-43,M4-DL.abc
601,M4-43,M4-SA.abc
602,M4-43,M4-TV.ab
603,M4-43,M4-S3E.0a
604,M4-43,M4-S3F.¤
605,M4-43,M4-IO.¤
606,M4-44,M4-DL.abc
607,M4-44,M4-SA.abc
608,M4-44,M4-S3E.0a
609,M4-44,M4-S3E.b
610,M4-44,M4-S3E.c
611,M4-44,M4-S3E.d
612,M4-44,M4-S3E.e
613,M4-44,M4-S3F.0a
614,M4-44,M4-S3F.bc
615,M4-44,M4-SE.¤
616,M5-1,M5-DM.0
617,M5-1,M5-S3E.0a
618,M5-1,M5-S3E.b
619,M5-1,M5-S3F.0a
620,M5-2,M5-DM.0
621,M5-2,M5-S3E.0a
622,M5-2,M5-S3F.¤
623,M5-3,M5-DM.0
624,M5-3,M5-S3E.cd
625,M5-3,M5-S3E.e
626,M5-3,M5-S3F.0a
627,M5-4,M5-DM.0
628,M5-4,M5-S3E.b
629,M5-4,M5-S3E.cd
630,M5-4,M5-S3F.bc
631,M5-5,M5-DM.0
632,M5-5,M5-S3E.b
633,M5-5,M5-S3E.cd
634,M5-5,M5-S3F.¤
635,M5-6,M5-DM.0
636,M5-6,M5-S3E.e
637,M5-6,M5-S3F.¤
638,M5-7,M5-DM.0
639,M5-7,M5-S3E.0a
640,M5-7,M5-S3F.¤
641,M5-7,M5-IO.¤
642,M5-8,M5-DM.0
643,M5-8,M5-S3S.a
644,M5-9,M5-DM.0
645,M5-9,M5-S3S.c
646,M5-10,M5-DM.0
647,M5-10,M5-S3S.d
648,M5-11,M5-DM.a
649,M5-11,M5-S3E.0a
650,M5-11,M5-S3E.b
651,M5-11,M5-S3F.0a
652,M5-12,M5-DM.a
653,M5-12,M5-S3E.0a
654,M5-12,M5-S3F.¤
655,M5-13,M5-DM.a
656,M5-13,M5-S3E.cd
657,M5-13,M5-S3E.e
658,M5-13,M5-S3F.0a
659,M5-14,M5-DM.a
660,M5-14,M5-S3E.b
661,M5-14,M5-S3E.cd
662,M5-14,M5-S3F.bc
663,M5-15,M5-DM.a
664,M5-15,M5-S3E.b
665,M5-15,M5-S3E.cd
666,M5-15,M5-S3F.¤
667,M5-16,M5-DM.a
668,M5-16,M5-S3E.e
669,M5-16,M5-S3F.¤
670,M5-17,M5-DM.a
671,M5-17,M5-S3E.0a
672,M5-17,M5-S3F.¤
673,M5-17,M5-IO.¤
674,M5-18,M5-DM.a
675,M5-18,M5-S3S.c
676,M5-19,M5-DM.a
677,M5-19,M5-S3S.d
678,M5-20,M5-DM.b
679,M5-20,M5-S3E.0a
680,M5-20,M5-S3E.b
681,M5-20,M5-S3F.0a
682,M5-21,M5-DM.b
683,M5-21,M5-S3E.0a
684,M5-21,M5-S3F.¤
685,M5-22,M5-DM.b
686,M5-22,M5-S3E.cd
687,M5-22,M5-S3E.e
688,M5-22,M5-S3F.0a
689,M5-23,M5-DM.b
690,M5-23,M5-S3E.b
691,M5-23,M5-S3E.cd
692,M5-23,M5-S3F.bc
693,M5-24,M5-DM.b
694,M5-24,M5-S3E.b
695,M5-24,M5-S3E.cd
696,M5-24,M5-S3F.¤
697,M5-25,M5-DM.b
698,M5-25,M5-S3E.e
699,M5-25,M5-S3F.¤
700,M5-26,M5-DM.b
701,M5-26,M5-S3S.c
702,M5-27,M5-DM.cd
703,M5-27,M5-S3E.0a
704,M5-27,M5-S3E.b
705,M5-27,M5-S3F.0a
706,M5-28,M5-DM.cd
707,M5-28,M5-S3E.0a
708,M5-28,M5-S3F.¤
709,M5-29,M5-DM.cd
710,M5-29,M5-S3E.cd
711,M5-29,M5-S3E.e
712,M5-29,M5-S3F.0a
713,M5-30,M5-DM.cd
714,M5-30,M5-S3E.b
715,M5-30,M5-S3E.cd
716,M5-30,M5-S3F.¤
717,M5-31,M5-DM.cd
718,M5-31,M5-S3E.e
719,M5-31,M5-S3F.¤
720,M5-32,M5-DM.cd
721,M5-32,M5-S3S.c
722,M5-33,M5-DM.ef
723,M5-33,M5-S3E.0a
724,M5-33,M5-S3E.b
725,M5-33,M5-S3F.0a
726,M5-34,M5-DM.ef
727,M5-34,M5-S3E.0a
728,M5-34,M5-S3F.¤
729,M5-35,M5-DM.ef
730,M5-35,M5-S3E.cd
731,M5-35,M5-S3E.e
732,M5-35,M5-S3F.0a
733,M5-36,M5-DM.ef
734,M5-36,M5-S3E.b
735,M5-36,M5-S3E.cd
736,M5-36,M5-S3F.¤
737,M5-37,M5-DM.ef
738,M5-37,M5-S3E.e
739,M5-37,M5-S3F.¤
740,M5-38,M5-DM.ef
741,M5-38,M5-S3S.c
742,M6-1,M6-KY.0
743,M6-2,M6-KY.a
744,M7-1,M7-SA.abc
745,M7-1,M7-TV.0
746,M7-2,M7-SA.abc
747,M7-2,M7-TV.ab
748,M7-3,M7-SA.def
749,M7-3,M7-TV.0
750,M7-4,M7-SA.def
751,M7-4,M7-TV.ab
752,M9-1,M9-SM.gh
753,M9-1,M9-TV.cdefgh
754,M9-2,M9-SM.gh
755,M9-2,M9-TV.ij
756,M9-3,M9-SM.gh
757,M9-3,M9-TV.k
758,M9-4,M9-SM.i
759,M9-4,M9-TV.cdefgh
760,M9-5,M9-SM.i
761,M9-5,M9-TV.ij
762,M9-6,M9-SM.i
763,M9-6,M9-TV.k
764,M9-7,M9-SM.¤
765,M9-7,M9-TV.ij
766,M9-7,M9-TV.k
767,M9-8,M9-SM.gh
768,M9-8,M9-TV.cdefgh
769,M9-8,M9-SE.b
770,M9-9,M9-SM.i
771,M9-9,M9-TV.cdefgh
772,M9-9,M9-SE.b
773,M10-1,M10-DL.0
774,M10-1,M10-GS.ab
775,M10-2,M10-DL.abcd
776,M10-2,M10-GS.ab
777,M10-3,M10-DL.e+
778,M10-3,M10-GS.ab
779,M10-3,M10-GS.cd¤
780,M10-4,M10-DL.0
781,M10-4,M10-GS.cd¤
782,M10-5,M10-DL.abcd
783,M10-5,M10-GS.cd¤
784,M11-1,M11-DM.0
785,M11-1,M11-KI.e
786,M11-2,M11-DM.0
787,M11-2,M11-KI.¤
788,M11-3,M11-DM.a
789,M11-3,M11-KI.e
790,M11-4,M11-DM.a
791,M11-4,M11-KI.¤
792,M11-5,M11-DM.bcdef
793,M11-5,M11-KI.e
794,M11-6,M11-DM.bcdef
795,M11-6,M11-KI.¤
796,M11-7,M11-DM.bcdef
797,M11-7,M11-KI.¤
798,M11-7,M11-KT.e
799,M12-1,M12-JV.ab
800,M12-1,M12-DM.0
801,M12-2,M12-JV.ab
802,M12-2,M12-DM.a
803,M12-3,M12-JV.ab
804,M12-3,M12-DM.bcdef
805,M12-4,M12-JV.cd
806,M12-4,M12-DM.0
807,M12-5,M12-JV.cd
808,M12-5,M12-DM.a
809,M12-6,M12-JV.cd
810,M12-6,M12-DM.bcdef
811,M12-7,M12-JV.e¤
812,M12-7,M12-DM.0
813,M12-7,M12-DM.a
814,M12-7,M12-DM.bcdef
815,M13-1,M13-OM.b
816,M13-1,M13-DL.abcd
817,M13-2,M13-OM.b
818,M13-2,M13-DL.e+
819,M13-3,M13-OM.¤
820,M13-3,M13-DL.abcd
821,M13-4,M13-OM.¤
822,M13-4,M13-DL.e+
823,M14-1,M14-DL.0
824,M14-2,M14-DL.abcd
825,M14-3,M14-DL.e+
826,M15-1,M15-S3E.0abcd
827,M15-1,M15-S3F.0ab
828,M15-1,M15-HS-M15.A
829,M15-2,M15-S3E.0abcd
830,M15-2,M15-S3F.c¤
831,M15-2,M15-HS-M15.A
832,M15-3,M15-S3E.e
833,M15-3,M15-S3F.0ab
834,M15-3,M15-HS-M15.A
835,M15-4,M15-S3E.0abcd
836,M15-4,M15-S3F.c¤
837,M15-4,M15-HS-M15.B
838,L1-1,L1-HU.0
839,L1-1,L1-KA.abc
840,L1-1,L1-VF.0abcde
841,L1-2,L1-HU.0
842,L1-2,L1-KA.def
843,L1-2,L1-VF.0abcde
844,L1-3,L1-HU.0
845,L1-3,L1-KA.ghi
846,L1-3,L1-VF.0abcde
847,L1-4,L1-HU.0
848,L1-4,L1-KA.abc
849,L1-4,L1-VF.fgh¤
850,L1-5,L1-HU.0
851,L1-5,L1-KA.def
852,L1-5,L1-VF.fgh¤
853,L1-6,L1-HU.0
854,L1-6,L1-KA.ghi
855,L1-6,L1-VF.fgh¤
856,L1-7,L1-HU.abcd
857,L1-7,L1-KA.abc
858,L1-7,L1-VF.0abcde
859,L2-1,L2-KA.ab
860,L2-1,L2-S3E.0abc
861,L2-1,L2-S3E.d
862,L2-1,L2-S3F.0ab
863,L2-2,L2-KA.ab
864,L2-2,L2-S3E.0abc
865,L2-2,L2-S3F.c¤
866,L2-3,L2-KA.ab
867,L2-3,L2-S3E.e
868,L2-3,L2-S3F.0ab
869,L2-4,L2-KA.ab
870,L2-4,L2-S3E.0abc
871,L2-4,L2-S3F.c¤
