pid,_id,lec_id,value,order
343,HS-L7.A,HS-L7,A,0
344,HS-L7.B,HS-L7,B,1
345,HS-L7.C,HS-L7,C,2
346,HS-L8.A,HS-L8,A,0
347,HS-L8.B,HS-L8,B,1
348,HS-L8.C,HS-L8,C,2
349,HS-L8.D,HS-L8,D,3
350,HS-L8.E,HS-L8,E,4
351,HS-L8.F,HS-L8,F,5
352,HS-L8.G,HS-L8,G,6
353,HS-L8.H,HS-L8,H,7
354,HS-T36.A,HS-T36,A,0
355,HS-T36.B,HS-T36,B,1
356,HS-T36.C,HS-T36,C,2
357,HS-T37.A,HS-T37,A,0
358,HS-T37.B,HS-T37,B,1
359,HS-T37.C,HS-T37,C,2
