"","htgrk","htypek","gtypek","grunntype","adb_id"
48,"F","F04","F04-C-06","F4-C-6 - Moderat kalkrike og klare små grunne vannmasser uten fisk","NA F4-C-6"
49,"F","F04","F04-C-07","F4-C-7 - Svært kalkrike og klare store grunne vannmasser uten fisk","NA F4-C-7"
50,"F","F04","F04-C-08","F4-C-8 - Svært kalkrike og klare små grunne vannmasser uten fisk","NA F4-C-8"
51,"F","F04","F04-C-09","F4-C-9 - Svært kalkfattige og humøse store grunne vannmasser uten fisk","NA F4-C-9"
52,"F","F04","F04-C-10","F4-C-10 - Svært kalkfattige og humøse små grunne vannmasser uten fisk","NA F4-C-10"
53,"F","F04","F04-C-11","F4-C-11 - Noe kalkfattige og humøse store grunne vannmasser uten fisk","NA F4-C-11"
54,"F","F04","F04-C-12","F4-C-12 - Noe kalkfattige og humøse små grunne vannmasser uten fisk","NA F4-C-12"
55,"F","F04","F04-C-13","F4-C-13 - Moderat kalkrike og humøse store grunne vannmasser uten fisk","NA F4-C-13"
56,"F","F04","F04-C-14","F4-C-14 - Moderat kalkrike og humøse små grunne vannmasser uten fisk","NA F4-C-14"
57,"F","F04","F04-C-15","F4-C-15 - Svært kalkrike og humøse store grunne vannmasser uten fisk","NA F4-C-15"
58,"F","F04","F04-C-16","F4-C-16 - Svært kalkrike og humøse små grunne vannmasser uten fisk","NA F4-C-16"
59,"F","F04","F04-C-17","F4-C-17 - Små og grunne humøse vannmasser uten fisk (høljegjøl)","NA F4-C-17"
60,"F","F05","F05-C-01","F5-C-1 - Kalkfattige litt turbide vannmasser","NA F5-C-1"
61,"F","F05","F05-C-02","F5-C-2 - Kalkrike litt turbide vannmasser","NA F5-C-2"
62,"F","F05","F05-C-03","F5-C-3 - Svært turbide vannmasser","NA F5-C-3"
63,"F","F06","F06-C-01","F6-C-1 - Grottesjø-vannmasser","NA F6-C-1"
64,"F","F07","F07-C-01","F7-C-1 - Innsjø-vannmasser med periodisk oksygenmangel","NA F7-C-1"
65,"F","F07","F07-C-02","F7-C-2 - Anoksiske innsjø-vannmasser betinget av gammelt havvann","NA F7-C-2"
66,"F","F07","F07-C-03","F7-C-3 - Anoksiske innsjø-vannmasser betinget av saltholdig kildevann","NA F7-C-3"
67,"F","F07","F07-C-04","F7-C-4 - Anoksiske innsjø-vannmasser betinget av jernholdig vann","NA F7-C-4"
68,"F","F07","F07-C-05","F7-C-5 - Anoksiske innsjø-vannmasser betinget av kalkrikt vann","NA F7-C-5"
69,"F","F07","F07-C-06","F7-C-6 - Anoksiske innsjø-vannmasser betinget av humusrikt vann","NA F7-C-6"
70,"F","F08","F08-C-01","F8-C-1 - Elvevannmasser uten fisk","NA F8-C-1"
71,"F","F08","F08-C-02","F8-C-2 - Elvevannmasser med fisk","NA F8-C-2"
72,"F","F09","F09-C-01","F9-C-1 - Kalkfattige grunne nye innsjø-vannmasser uten fisk","NA F9-C-1"
73,"F","F09","F09-C-02","F9-C-2 - Kalkfattige lagdelte nye innsjø-vannmasser uten fisk","NA F9-C-2"
74,"F","F09","F09-C-03","F9-C-3 - Kalkrike grunne nye innsjø-vannmasser uten fisk","NA F9-C-3"
75,"F","F09","F09-C-04","F9-C-4 - Kalkrike lagdelte nye innsjø-vannmasser uten fisk","NA F9-C-4"
76,"F","F09","F09-C-05","F9-C-5 - Kalkfattige grunne nye innsjø-vannmasser med fisk","NA F9-C-5"
77,"F","F09","F09-C-06","F9-C-6 - Kalkfattige lagdelte nye innsjø-vannmasser med fisk","NA F9-C-6"
