"","htgrk","htypek","gtypek","grunntype","adb_id"
236,"T","T03","T03-C-06","T3-C-6 - intermediær fjell-lavhei","NA T3-C-6"
237,"T","T03","T03-C-07","T3-C-7 - svakt kalkrik leside","NA T3-C-7"
238,"T","T03","T03-C-08","T3-C-8 - svakt kalkrik fjell-lynghei","NA T3-C-8"
239,"T","T03","T03-C-09","T3-C-9 - svakt kalkrik fjell-lavhei","NA T3-C-9"
240,"T","T03","T03-C-10","T3-C-10 - sterkt kalkrik leside","NA T3-C-10"
241,"T","T03","T03-C-11","T3-C-11 - sterkt kalkrik fjell-lynghei","NA T3-C-11"
242,"T","T03","T03-C-12","T3-C-12 - sterkt kalkrik fjell-lavhei","NA T3-C-12"
243,"T","T03","T03-C-13","T3-C-13 - intermediær kildepåvirket fjellhei","NA T3-C-13"
244,"T","T03","T03-C-14","T3-C-14 - kalkrik kildepåvirket fjellhei","NA T3-C-14"
245,"T","T04","T04-C-01","T4-C-1 - blåbærskog","NA T4-C-1"
246,"T","T04","T04-C-02","T4-C-2 - svak lågurtskog","NA T4-C-2"
247,"T","T04","T04-C-03","T4-C-3 - lågurtskog","NA T4-C-3"
248,"T","T04","T04-C-04","T4-C-4 - kalklågurtskog","NA T4-C-4"
249,"T","T04","T04-C-05","T4-C-5 - bærlyngskog","NA T4-C-5"
250,"T","T04","T04-C-06","T4-C-6 - svak bærlyng-lågurtskog","NA T4-C-6"
251,"T","T04","T04-C-07","T4-C-7 - bærlyng-lågurtskog","NA T4-C-7"
252,"T","T04","T04-C-08","T4-C-8 - bærlyng-kalklågurtskog","NA T4-C-8"
253,"T","T04","T04-C-09","T4-C-9 - lyngskog","NA T4-C-9"
254,"T","T04","T04-C-10","T4-C-10 - svak lyng-lågurtskog","NA T4-C-10"
255,"T","T04","T04-C-11","T4-C-11 - lyng-lågurtskog","NA T4-C-11"
256,"T","T04","T04-C-12","T4-C-12 - lyng-kalklågurtskog","NA T4-C-12"
257,"T","T04","T04-C-13","T4-C-13 - lavskog","NA T4-C-13"
258,"T","T04","T04-C-14","T4-C-14 - svak lav-lågurtskog","NA T4-C-14"
259,"T","T04","T04-C-15","T4-C-15 - lav-lågurtskog","NA T4-C-15"
260,"T","T04","T04-C-16","T4-C-16 - lav-kalklågurtskog","NA T4-C-16"
261,"T","T04","T04-C-17","T4-C-17 - storbregneskog","NA T4-C-17"
262,"T","T04","T04-C-18","T4-C-18 - høgstaudeskog","NA T4-C-18"
263,"T","T04","T04-C-19","T4-C-19 - litt tørkeutsatt høgstaudeskog","NA T4-C-19"
264,"T","T04","T04-C-20","T4-C-20 - tørkeutsatt høgstaudeskog","NA T4-C-20"
265,"T","T05","T05-C-01","T5-C-1 - kalkfattige til svakt kalkrike tørkeutsatte grotter og overheng","NA T5-C-1"
266,"T","T05","T05-C-02","T5-C-2 - sterkt kalkrike ikke tørkeutsatte grotter og overheng","NA T5-C-2"
267,"T","T05","T05-C-03","T5-C-3 - mindre kalkrikt grottedyp","NA T5-C-3"
268,"T","T05","T05-C-04","T5-C-4 - indre del av dyp karstgrotte","NA T5-C-4"
269,"T","T05","T05-C-05","T5-C-5 - tørt kalkfattig overheng","NA T5-C-5"
270,"T","T05","T05-C-06","T5-C-6 - tørt intermediært og svakt kalkrikt overheng","NA T5-C-6"
271,"T","T05","T05-C-07","T5-C-7 - tørt sterkt kalkrikt overheng","NA T5-C-7"
272,"T","T06","T06-C-01","T6-C-1 - kalkfattige strandberg","NA T6-C-1"
273,"T","T06","T06-C-02","T6-C-2 - kalkrik bergknaus i bølgesprutsonen","NA T6-C-2"
274,"T","T07","T07-C-01","T7-C-1 - svært kalkfattig moderat snøleie","NA T7-C-1"
275,"T","T07","T07-C-02","T7-C-2 - svakt kalkfattig moderat snøleie","NA T7-C-2"
276,"T","T07","T07-C-03","T7-C-3 - intermediært moderat snøleie","NA T7-C-3"
277,"T","T07","T07-C-04","T7-C-4 - intermediært seint snøleie","NA T7-C-4"
278,"T","T07","T07-C-05","T7-C-5 - intermediært ekstremsnøleie","NA T7-C-5"
279,"T","T07","T07-C-06","T7-C-6 - svakt kalkrikt moderat snøleie","NA T7-C-6"
280,"T","T07","T07-C-07","T7-C-7 - svakt kalkrikt seint snøleie","NA T7-C-7"
281,"T","T07","T07-C-08","T7-C-8 - sterkt kalkrikt moderat snøleie","NA T7-C-8"
282,"T","T07","T07-C-09","T7-C-9 - sterkt kalkrikt seint snøleie","NA T7-C-9"
283,"T","T07","T07-C-10","T7-C-10 - kalkrikt ekstremsnøleie","NA T7-C-10"
284,"T","T07","T07-C-11","T7-C-11 - vegetasjonsfritt snøleie","NA T7-C-11"
285,"T","T07","T07-C-12","T7-C-12 - kildepåvirket intermediært snøleie","NA T7-C-12"
286,"T","T07","T07-C-13","T7-C-13 - kildepåvirket svakt kalkrikt snøleie","NA T7-C-13"
287,"T","T07","T07-C-14","T7-C-14 - kildepåvirket kalksnøleie","NA T7-C-14"
288,"T","T08","T08-C-01","T8-C-1 - fuglefjell-høgstaude-enger","NA T8-C-1"
289,"T","T08","T08-C-02","T8-C-2 - kildepåvirket fuglefjell-eng","NA T8-C-2"
290,"T","T08","T08-C-03","T8-C-3 - fugletopp","NA T8-C-3"
291,"T","T09","T09-C-01","T9-C-1 - fattig-intermediær mosetundra","NA T9-C-1"
292,"T","T09","T09-C-02","T9-C-2 - kalkrik mosetundra","NA T9-C-2"
293,"T","T10","T10-C-01","T10-C-1 - arktiske stepper","NA T10-C-1"
294,"T","T11","T11-C-01","T11-C-1 - saltanrikingsmarker i geolitoral","NA T11-C-1"
295,"T","T11","T11-C-02","T11-C-2 - øvre saltanrikingsmark på grus","NA T11-C-2"
296,"T","T12","T12-C-01","T12-C-1 - strandenger i nedre og midtre geolitoral","NA T12-C-1"
297,"T","T12","T12-C-02","T12-C-2 - strandenger i øvre geolitoral og supralitoral","NA T12-C-2"
298,"T","T13","T13-C-01","T13-C-1 - kalkfattig grov ur","NA T13-C-1"
299,"T","T13","T13-C-02","T13-C-2 - kalkfattig ur","NA T13-C-2"
300,"T","T13","T13-C-03","T13-C-3 - kalkfattig grus- og sanddominert rasmark","NA T13-C-3"
301,"T","T13","T13-C-04","T13-C-4 - intermediær og svakt kalkrik grov ur","NA T13-C-4"
302,"T","T13","T13-C-05","T13-C-5 - intermediær og svakt kalkrik ur","NA T13-C-5"
303,"T","T13","T13-C-06","T13-C-6 - intermediær og svakt kalkrik grus- og sanddominert rasmark","NA T13-C-6"
304,"T","T13","T13-C-07","T13-C-7 - sterkt kalkrik grov ur","NA T13-C-7"
305,"T","T13","T13-C-08","T13-C-8 - sterkt kalkrik ur","NA T13-C-8"
306,"T","T13","T13-C-09","T13-C-9 - sterkt kalkrik grus- og sanddominert rasmark","NA T13-C-9"
307,"T","T13","T13-C-10","T13-C-10 - kalkfattig fuktig grov ur","NA T13-C-10"
308,"T","T13","T13-C-11","T13-C-11 - kalkfattig fuktig ur","NA T13-C-11"
309,"T","T13","T13-C-12","T13-C-12 - intermediær og svakt kalkrik fuktig grov ur","NA T13-C-12"
310,"T","T13","T13-C-13","T13-C-13 - intermediær og svakt kalkrik fuktig ur","NA T13-C-13"
311,"T","T13","T13-C-14","T13-C-14 - sterkt kalkrik fuktig grov ur","NA T13-C-14"
312,"T","T13","T13-C-15","T13-C-15 - sterkt kalkrik fuktig ur","NA T13-C-15"
313,"T","T14","T14-C-01","T14-C-1 - kalkfattig og intermediær rabbe","NA T14-C-1"
314,"T","T14","T14-C-02","T14-C-2 - kalkrik rabbe","NA T14-C-2"
315,"T","T15","T15-C-01","T15-C-1 - kalkfattig og intermediær fosse-eng","NA T15-C-1"
316,"T","T15","T15-C-02","T15-C-2 - kalkrik fosse-eng","NA T15-C-2"
317,"T","T16","T16-C-01","T16-C-1 - kalkfattig rasmarkeng og -hei","NA T16-C-1"
318,"T","T16","T16-C-02","T16-C-2 - intermediær rasmarkeng og -hei","NA T16-C-2"
319,"T","T16","T16-C-03","T16-C-3 - svakt kalkrik rasmarkeng og -hei","NA T16-C-3"
320,"T","T16","T16-C-04","T16-C-4 - sterkt kalkrik rasmarkeng og -hei","NA T16-C-4"
321,"T","T16","T16-C-05","T16-C-5 - kildepåvirket intermediær rasmarkeng og -hei","NA T16-C-5"
322,"T","T16","T16-C-06","T16-C-6 - kildepåvirket kalkrik rasmarkeng og -hei","NA T16-C-6"
323,"T","T16","T16-C-07","T16-C-7 - sterkt raspreget rasmarkeng og -hei","NA T16-C-7"
324,"T","T17","T17-C-01","T17-C-1 - jordskred","NA T17-C-1"
325,"T","T17","T17-C-02","T17-C-2 - grus- og sandskred","NA T17-C-2"
326,"T","T17","T17-C-03","T17-C-3 - silt- og leirskred","NA T17-C-3"
327,"T","T18","T18-C-01","T18-C-1 - åpne flomfastmarker på sand, grus og stein","NA T18-C-1"
328,"T","T18","T18-C-02","T18-C-2 - åpen flomfastmark på silt og leire","NA T18-C-2"
329,"T","T18","T18-C-03","T18-C-3 - åpen flomfastmark på kalkrik grus og stein","NA T18-C-3"
330,"T","T18","T18-C-04","T18-C-4 - åpen flomfastmark på sand med klart erosjonspreg","NA T18-C-4"
331,"T","T19","T19-C-01","T19-C-1 - kalkfattige finjordsflekker","NA T19-C-1"
332,"T","T19","T19-C-02","T19-C-2 - kalkrike finjordsflekker","NA T19-C-2"
333,"T","T20","T20-C-01","T20-C-1 - kalkfattig og intermediær isinnfrysingsmark","NA T20-C-1"
334,"T","T20","T20-C-02","T20-C-2 - kalkrik isinnfrysingsmark","NA T20-C-2"
335,"T","T21","T21-C-01","T21-C-1 - forstrand og primærdyner","NA T21-C-1"
336,"T","T21","T21-C-02","T21-C-2 - kvite og grå dyner","NA T21-C-2"
337,"T","T21","T21-C-03","T21-C-3 - brune dyner og dynehei","NA T21-C-3"
338,"T","T21","T21-C-04","T21-C-4 - dynetrau","NA T21-C-4"
339,"T","T22","T22-C-01","T22-C-1 - kalkfattig og intermediær fjellgrashei","NA T22-C-1"
340,"T","T22","T22-C-02","T22-C-2 - kalkfattig og intermediært grassnøleie","NA T22-C-2"
341,"T","T22","T22-C-03","T22-C-3 - kalkrik fjellgrashei","NA T22-C-3"
342,"T","T22","T22-C-04","T22-C-4 - kalkrikt grassnøleie","NA T22-C-4"
343,"T","T23","T23-C-01","T23-C-1 - ferskvannsdriftvoll","NA T23-C-1"
344,"T","T24","T24-C-01","T24-C-1 - beskyttede og moderat eksponerte driftvoller","NA T24-C-1"
345,"T","T24","T24-C-02","T24-C-2 - ettårsdriftvoll","NA T24-C-2"
346,"T","T25","T25-C-01","T25-C-1 - historisk jordskred","NA T25-C-1"
347,"T","T25","T25-C-02","T25-C-2 - historiske grus- og sandskred","NA T25-C-2"
348,"T","T25","T25-C-03","T25-C-3 - historisk silt- og leirskred","NA T25-C-3"
349,"T","T26","T26-C-01","T26-C-1 - fjellhei-initialer","NA T26-C-1"
350,"T","T26","T26-C-02","T26-C-2 - snøleie-initialer","NA T26-C-2"
351,"T","T26","T26-C-03","T26-C-3 - grus- og steindominert breforland i pionerfasen","NA T26-C-3"
352,"T","T26","T26-C-04","T26-C-4 - breforland og snøavsmeltingsområder i pionérfase, dominert av fin grus, sand, silt til leire","NA T26-C-4"
353,"T","T27","T27-C-01","T27-C-1 - kalkfattig og intermediær blokkmark","NA T27-C-1"
354,"T","T27","T27-C-02","T27-C-2 - kalkfattig og intermediær snøleie-blokkmark","NA T27-C-2"
355,"T","T27","T27-C-03","T27-C-3 - kalkrik blokkmark","NA T27-C-3"
356,"T","T27","T27-C-04","T27-C-4 - kalkrik snøleie-blokkmark","NA T27-C-4"
357,"T","T27","T27-C-05","T27-C-5 - blokkmark i vegetasjonsfritt snøleie","NA T27-C-5"
358,"T","T27","T27-C-06","T27-C-6 - kalkfattig og intermediær rabbepreget blokkmark","NA T27-C-6"
359,"T","T27","T27-C-07","T27-C-7 - kalkrik rabbepreget blokkmark","NA T27-C-7"
360,"T","T28","T28-C-01","T28-C-1 - kalkfattig polarørken","NA T28-C-1"
361,"T","T28","T28-C-02","T28-C-2 - intermediær og svakt kalkrik polarørken","NA T28-C-2"
362,"T","T28","T28-C-03","T28-C-3 - sterkt kalkrik polarørken","NA T28-C-3"
363,"T","T29","T29-C-01","T29-C-1 - stein- og grusstrender og strandlinjer i pionérfase på epilitoral fastmark","NA T29-C-1"
364,"T","T29","T29-C-02","T29-C-2 - stein- og grusstrender og strandlinjer i etablerings- og konsolideringsfase på epilitoral fastmark","NA T29-C-2"
365,"T","T29","T29-C-03","T29-C-3 - øvre skjellsandstrand med pionervegetasjon","NA T29-C-3"
366,"T","T29","T29-C-04","T29-C-4 - øvre skjellsandstrand uten pionervegetasjon","NA T29-C-4"
367,"T","T29","T29-C-05","T29-C-5 - stein- og grusstrender og strandlinjer i pionérfase i supralitoral","NA T29-C-5"
368,"T","T29","T29-C-06","T29-C-6 - nedre skjellsandstrand med pionervegetasjon","NA T29-C-6"
369,"T","T30","T30-C-01","T30-C-1 - flomskogsmarker på grus og stein","NA T30-C-1"
370,"T","T30","T30-C-02","T30-C-2 - flomskogsmarker på finmateriale","NA T30-C-2"
371,"T","T30","T30-C-03","T30-C-3 - kildepåvirkede flomskogsmarker på finmateriale","NA T30-C-3"
372,"T","T30","T30-C-04","T30-C-4 - erosjonspreget flomskogsmark","NA T30-C-4"
373,"T","T31","T31-C-01","T31-C-1 - kalkfattig boreal frisk hei","NA T31-C-1"
374,"T","T31","T31-C-02","T31-C-2 - kalkfattig boreal lynghei","NA T31-C-2"
375,"T","T31","T31-C-03","T31-C-3 - kalkfattig boreal lavhei","NA T31-C-3"
376,"T","T31","T31-C-04","T31-C-4 - intermediær boreal frisk hei","NA T31-C-4"
377,"T","T31","T31-C-05","T31-C-5 - intermediær boreal lynghei","NA T31-C-5"
378,"T","T31","T31-C-06","T31-C-6 - intermediær boreal lavhei","NA T31-C-6"
379,"T","T31","T31-C-07","T31-C-7 - svakt kalkrik boreal frisk hei","NA T31-C-7"
380,"T","T31","T31-C-08","T31-C-8 - svakt kalkrik boreal lynghei","NA T31-C-8"
381,"T","T31","T31-C-09","T31-C-9 - svakt kalkrik boreal lavhei","NA T31-C-9"
382,"T","T31","T31-C-10","T31-C-10 - sterkt kalkrik boreal frisk hei","NA T31-C-10"
383,"T","T31","T31-C-11","T31-C-11 - sterkt kalkrik boreal lynghei","NA T31-C-11"
384,"T","T31","T31-C-12","T31-C-12 - sterkt kalkrik boreal lavhei","NA T31-C-12"
385,"T","T31","T31-C-13","T31-C-13 - intermediær kildepåvirket boreal frisk hei","NA T31-C-13"
386,"T","T31","T31-C-14","T31-C-14 - kalkrik kildepåvirket boreal frisk hei","NA T31-C-14"
387,"T","T32","T32-C-01","T32-C-1 - kalkfattig eng med mindre hevdpreg","NA T32-C-1"
388,"T","T32","T32-C-02","T32-C-2 - kalkfattig eng med klart hevdpreg","NA T32-C-2"
389,"T","T32","T32-C-03","T32-C-3 - intermediær eng med mindre hevdpreg","NA T32-C-3"
390,"T","T32","T32-C-04","T32-C-4 - intermediær eng med klart hevdpreg","NA T32-C-4"
391,"T","T32","T32-C-05","T32-C-5 - svakt kalkrik eng med mindre hevdpreg","NA T32-C-5"
392,"T","T32","T32-C-06","T32-C-6 - intermediær eng med svakt preg av gjødsling","NA T32-C-6"
393,"T","T32","T32-C-07","T32-C-7 - sterkt kalkrik eng med mindre hevdpreg","NA T32-C-7"
394,"T","T32","T32-C-08","T32-C-8 - sterkt kalkrik eng med klart hevdpreg","NA T32-C-8"
395,"T","T32","T32-C-09","T32-C-9 - kalkrik fukteng med mindre hevdpreg","NA T32-C-9"
396,"T","T32","T32-C-10","T32-C-10 - kalkrik fukteng med klart hevdpreg og svakt preg av gjødsling","NA T32-C-10"
397,"T","T32","T32-C-11","T32-C-11 - kalkfattig tørreng med mindre hevdpreg","NA T32-C-11"
398,"T","T32","T32-C-12","T32-C-12 - kalkfattig tørreng med klart hevdpreg","NA T32-C-12"
399,"T","T32","T32-C-13","T32-C-13 - intermediær tørreng med mindre hevdpreg","NA T32-C-13"
400,"T","T32","T32-C-14","T32-C-14 - intermediær tørreng med klart hevdpreg eller svakt preg av gjødsling","NA T32-C-14"
401,"T","T32","T32-C-15","T32-C-15 - svakt kalkrik tørreng med mindre hevdpreg","NA T32-C-15"
402,"T","T32","T32-C-16","T32-C-16 - svakt kalkrik tørreng med klart hevdpreg eller svakt preg av gjødsling","NA T32-C-16"
403,"T","T32","T32-C-17","T32-C-17 - sterkt kalkrik tørreng med mindre hevdpreg","NA T32-C-17"
404,"T","T32","T32-C-18","T32-C-18 - sterkt kalkrik tørreng med klart hevdpreg","NA T32-C-18"
405,"T","T32","T32-C-19","T32-C-19 - sanddyne-eng med klart hevdpreg eller svakt preg av gjødsling","NA T32-C-19"
406,"T","T32","T32-C-20","T32-C-20 - svakt kalkrik eng med klart hevdpreg","NA T32-C-20"
407,"T","T32","T32-C-21","T32-C-21 - svakt kalkrik eng med svakt preg av gjødsling","NA T32-C-21"
408,"T","T33","T33-C-01","T33-C-1 - nedre semi-naturlig strandeng","NA T33-C-1"
409,"T","T33","T33-C-02","T33-C-2 - øvre semi-naturlig strandeng","NA T33-C-2"
410,"T","T34","T34-C-01","T34-C-1 - kalkfattig bakli-hei","NA T34-C-1"
411,"T","T34","T34-C-02","T34-C-2 - kalkfattige kystlyngheier","NA T34-C-2"
412,"T","T34","T34-C-03","T34-C-3 - intermediær bakli-hei","NA T34-C-3"
413,"T","T34","T34-C-04","T34-C-4 - intermediære kystlyngheier","NA T34-C-4"
414,"T","T34","T34-C-05","T34-C-5 - svakt kalkrike kystlyngheier","NA T34-C-5"
415,"T","T34","T34-C-06","T34-C-6 - sterkt kalkrike kystlyngheier","NA T34-C-6"
416,"T","T35","T35-C-01","T35-C-1 - sterkt endret fastmark med jorddekke","NA T35-C-1"
417,"T","T35","T35-C-02","T35-C-2 - sterkt endrede fastmarker med dekke av sand eller grus","NA T35-C-2"
418,"T","T35","T35-C-03","T35-C-3 - sterkt endret fastmark med dekke av silt og leire","NA T35-C-3"
419,"T","T36","T36-C-01","T36-C-1 - sterkt endret tidligere våtmark","NA T36-C-1"
420,"T","T36","T36-C-02","T36-C-2 - tørrlagt elvebunn","NA T36-C-2"
421,"T","T36","T36-C-03","T36-C-3 - tørrlagt innsjøbunn","NA T36-C-3"
422,"T","T37","T37-C-01","T37-C-1 - slagghauger og deponier for fast kjemisk avfall","NA T37-C-1"
423,"T","T37","T37-C-02","T37-C-2 - asfalt, løs betong o.l.","NA T37-C-2"
424,"T","T37","T37-C-03","T37-C-3 - avfallsdeponi o.l.","NA T37-C-3"
425,"T","T38","T38-C-01","T38-C-1 - plantasjeskog","NA T38-C-1"
426,"T","T39","T39-C-01","T39-C-1 - blokkdeponier","NA T39-C-1"
427,"T","T39","T39-C-02","T39-C-2 - blottlagt fast fjell","NA T39-C-2"
428,"T","T39","T39-C-03","T39-C-3 - fast fjell blottlagt ved tørrlegging eller nedtapping","NA T39-C-3"
429,"T","T39","T39-C-04","T39-C-4 - sterkt modifiserte eller syntetiske, overveiende uorganisk faste substrater","NA T39-C-4"
430,"T","T40","T40-C-01","T40-C-1 - eng-aktig sterkt endret fastmark","NA T40-C-1"
431,"T","T41","T41-C-01","T41-C-1 - eng-aktig oppdyrket mark","NA T41-C-1"
432,"T","T42","T42-C-01","T42-C-1 - blomsterbed og liknende","NA T42-C-1"
433,"T","T43","T43-C-01","T43-C-1 - plener, parker og liknende","NA T43-C-1"
434,"T","T44","T44-C-01","T44-C-1 - åker","NA T44-C-1"
435,"T","T45","T45-C-01","T45-C-1 - oppdyrkede varige enger med lite intensivt hevdpreg","NA T45-C-1"
436,"T","T45","T45-C-02","T45-C-2 - oppdyrket intensiv slåtteeng","NA T45-C-2"
437,"T","T45","T45-C-03","T45-C-3 - oppdyrket svært intensiv slåtteeng","NA T45-C-3"
438,"V","V01","V01-C-01","V1-C-1 - svært og temmelig kalkfattige myrflater","NA V1-C-1"
439,"V","V01","V01-C-02","V1-C-2 - litt kalkfattige og svakt intermediære myrflater","NA V1-C-2"
440,"V","V01","V01-C-03","V1-C-3 - sterkt intermediære og litt kalkrike myrflater","NA V1-C-3"
441,"V","V01","V01-C-04","V1-C-4 - temmelig til ekstremt kalkrike myrflater","NA V1-C-4"
442,"V","V01","V01-C-05","V1-C-5 - svært og temmelig kalkfattige myrkanter","NA V1-C-5"
443,"V","V01","V01-C-06","V1-C-6 - litt kalkfattige og svakt intermediære myrkanter","NA V1-C-6"
444,"V","V01","V01-C-07","V1-C-7 - sterkt intermediære og litt kalkrike myrkanter","NA V1-C-7"
445,"V","V01","V01-C-08","V1-C-8 - temmelig til ekstremt kalkrike myrkanter","NA V1-C-8"
446,"V","V01","V01-C-09","V1-C-9 - saltpåvirket myrkant","NA V1-C-9"
447,"V","V02","V02-C-01","V2-C-1 - kalkfattige og svakt intermediære myr- og sumpskogsmarker","NA V2-C-1"
448,"V","V02","V02-C-02","V2-C-2 - sterkt intermediære litt kalkrike myr- og sumpskog-marker","NA V2-C-2"
449,"V","V02","V02-C-03","V2-C-3 - temmelig til ekstremt kalkrike myr- og sumpskogsmarker","NA V2-C-3"
450,"V","V03","V03-C-01","V3-C-1 - ombrotrofe myrflater","NA V3-C-1"
451,"V","V03","V03-C-02","V3-C-2 - ombrotrof myrkant","NA V3-C-2"
452,"V","V04","V04-C-01","V4-C-1 - litt kalkfattig og svakt intermediær svakkilde","NA V4-C-1"
453,"V","V04","V04-C-02","V4-C-2 - sterkt intermediære og litt kalkrike kilder","NA V4-C-2"
454,"V","V04","V04-C-03","V4-C-3 - temmelig til ekstremt kalkrike kilder","NA V4-C-3"
455,"V","V04","V04-C-04","V4-C-4 - sterkt intermediære og litt kalkrike torvmarkskilder","NA V4-C-4"
456,"V","V04","V04-C-05","V4-C-5 - temmelig til ekstremt kalkrike torvmarkskilder","NA V4-C-5"
457,"V","V05","V05-C-01","V5-C-1 - svak varmkilde","NA V5-C-1"
458,"V","V05","V05-C-02","V5-C-2 - klar varmkilde","NA V5-C-2"
459,"V","V06","V06-C-01","V6-C-1 - kalkfattig og intermediært moderat våtsnøleie","NA V6-C-1"
460,"V","V06","V06-C-02","V6-C-2 - kalkrikt moderat våtsnøleie","NA V6-C-2"
461,"V","V06","V06-C-03","V6-C-3 - kalkfattig og intermediært seint våtsnøleie","NA V6-C-3"
462,"V","V06","V06-C-04","V6-C-4 - kalkrikt seint våtsnøleie","NA V6-C-4"
463,"V","V06","V06-C-05","V6-C-5 - kalkfattig og intermediært ekstrem-våtsnøleie","NA V6-C-5"
464,"V","V06","V06-C-06","V6-C-6 - kalkrikt ekstrem-våtsnøleie","NA V6-C-6"
465,"V","V06","V06-C-07","V6-C-7 - kalkfattig og intermediært seint kildesnøleie","NA V6-C-7"
466,"V","V06","V06-C-08","V6-C-8 - kalkrikt seint kildesnøleie","NA V6-C-8"
467,"V","V06","V06-C-09","V6-C-9 - ekstrem-kildesnøleie","NA V6-C-9"
468,"V","V07","V07-C-01","V7-C-1 - kalkfattig og intermediær permafrost-våtmark","NA V7-C-1"
469,"V","V07","V07-C-02","V7-C-2 - kalkrik permafrost-våtmark","NA V7-C-2"
470,"V","V08","V08-C-01","V8-C-1 - kalkfattig og intermediær strand- og sumpskogsmark","NA V8-C-1"
471,"V","V08","V08-C-02","V8-C-2 - kalkrik strand- og sumpskogsmark","NA V8-C-2"
472,"V","V08","V08-C-03","V8-C-3 - saltpåvirket strand- og sumpskogsmark","NA V8-C-3"
473,"V","V09","V09-C-01","V9-C-1 - kalkfattig semi-naturlig myr","NA V9-C-1"
474,"V","V09","V09-C-02","V9-C-2 - intermediær semi-naturlig myr","NA V9-C-2"
475,"V","V09","V09-C-03","V9-C-3 - kalkrik semi-naturlig myr","NA V9-C-3"
476,"V","V10","V10-C-01","V10-C-1 - intermediær våteng","NA V10-C-1"
477,"V","V10","V10-C-02","V10-C-2 - kalkrik våteng","NA V10-C-2"
478,"V","V10","V10-C-03","V10-C-3 - kildevannspåvirket våteng","NA V10-C-3"
479,"V","V11","V11-C-01","V11-C-1 - kalkfattig torvtak","NA V11-C-1"
480,"V","V11","V11-C-02","V11-C-2 - kalkrikt torvtak","NA V11-C-2"
481,"V","V12","V12-C-01","V12-C-1 - grøftet kalkfattig jordvannsmyr","NA V12-C-1"
482,"V","V12","V12-C-02","V12-C-2 - grøftet kalkrik jordvannsmyr","NA V12-C-2"
483,"V","V12","V12-C-03","V12-C-3 - grøftet nedbørsmyr","NA V12-C-3"
484,"V","V13","V13-C-01","V13-C-1 - nye våtmarker med opprinnelse i sterkt endrede fastmarkssystemer","NA V13-C-1"
485,"V","V13","V13-C-02","V13-C-2 - nye våtmarker med opprinnelse i jordbruksmark på fastmark","NA V13-C-2"
486,"V","V13","V13-C-03","V13-C-3 - nye våtmarker med opprinnelse i neddemt skogsmark","NA V13-C-3"
487,"V","V13","V13-C-04","V13-C-4 - nye våtmarker med opprinnelse i ferskvannsbunn","NA V13-C-4"
