NiN-kode,Torvmarksform,
3TO–BA,Bakkemyr,
3TO–BS,Strengblandingsmyr,
3TO –BØ,Øyblandingsmyr,
3TO –DK,Djupkilde,
3TO –FA,Flatmyr,
3TO –FL,Flommyr,
3TO –GS,Gjennomstrømningsmyr,
3TO –GV,Gjenvoksningsmyr,
3TO –HA,Atlantisk høymyr,
3TO –HE,Eksentrisk høymyr,
3TO –HK,Konsentrisk høymyr,
3TO –HN,Kanthøymyr,
3TO –HP,Platåhøymyr,
3TO –PA,Palsmyr,
3TO –PO,Polygonmyr,
3TO –ST,Strengmyr,
3TO –TE,Terrengdekkende myr,
