,id,adb_id,name
65,F7-E-4,NA F7-E-4,Anoksiske innsjø-vannmasser betinget av jernholdig vann
66,F7-E-5,NA F7-E-5,Anoksiske innsjø-vannmasser betinget av kalkrikt vann
67,F7-E-6,NA F7-E-6,Anoksiske innsjø-vannmasser betinget av humusrikt vann
68,F8-E-1,NA F8-E-1,Elvevannmasser uten fisk
69,F8-E-2,NA F8-E-2,Elvevannmasser med fisk
70,F9-E-1,NA F9-E-1,Kalkfattige grunne nye innsjø-vannmasser uten fisk
71,F9-E-2,NA F9-E-2,Kalkfattige lagdelte nye innsjø-vannmasser uten fisk
72,F9-E-3,NA F9-E-3,Kalkrike grunne nye innsjø-vannmasser uten fisk
73,F9-E-4,NA F9-E-4,Kalkrike lagdelte nye innsjø-vannmasser uten fisk
74,F9-E-5,NA F9-E-5,Kalkfattige grunne nye innsjø-vannmasser med fisk
75,F9-E-6,NA F9-E-6,Kalkfattige lagdelte nye innsjø-vannmasser med fisk
76,F9-E-7,NA F9-E-7,Kalkrike grunne nye innsjø-vannmasser med fisk
77,F9-E-8,NA F9-E-8,Kalkrike lagdelte nye innsjø-vannmasser med fisk
78,F10-E-1,NA F10-E-1,Kronisk kjemisk påvirkede innsjø-vannmasser
79,F10-E-2,NA F10-E-2,Kronisk saltpåvirkede innsjø-vannmasser
80,F10-E-3,NA F10-E-3,Kronisk eutrofierte innsjø-vannmasser
81,F10-E-4,NA F10-E-4,Kronisk forsurede innsjø-vannmasser
82,F11-E-1,NA F11-E-1,Sterkt endrede kalkfattige innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer
83,F11-E-2,NA F11-E-2,Sterkt endrede kalkrike innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer
84,F12-E-1,NA F12-E-1,Sterkt forsurede elvevannmasser
85,F13-E-1,NA F13-E-1,Sterkt endrede kalkfattige elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer
86,F13-E-2,NA F13-E-2,Sterkt endrede kalkrike elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer
87,F13-E-1,NA F13-E-1,Sterkt endrede kalkfattige elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer
88,F13-E-2,NA F13-E-2,Sterkt endrede kalkrike elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer
89,F13-E-1,NA F13-E-1,Sterkt endrede kalkfattige elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer
90,F13-E-2,NA F13-E-2,Sterkt endrede kalkrike elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer
91,F13-E-1,NA F13-E-1,Sterkt endrede kalkfattige elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer
92,F13-E-2,NA F13-E-2,Sterkt endrede kalkrike elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer
93,F13-E-1,NA F13-E-1,Sterkt endrede kalkfattige elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer
94,F13-E-2,NA F13-E-2,Sterkt endrede kalkrike elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer
95,I1-E-1,NA I1-E-1,snø- og isdekt fastmark
96,L1-E-1,NA L1-E-1,Svært kalkfattig eufotisk fast innsjøbunn
97,L1-E-2,NA L1-E-2,Noe kalkfattig eufotisk fast innsjøbunn
98,L1-E-3,NA L1-E-3,Moderat kalkrik eufotisk fast innsjøbunn
99,L1-E-4,NA L1-E-4,Svært kalkrik eufotisk fast innsjøbunn
100,L1-E-5,NA L1-E-5,Turbid eufotisk fast innsjøbunn
101,L2-E-1,NA L2-E-1,Kalkfattig fin innsjø-sedimentbunn
102,L2-E-2,NA L2-E-2,Kalkfattig grov innsjø-sedimentbunn
103,L2-E-3,NA L2-E-3,Kalkrik fin innsjø-sedimentbunn 
104,L2-E-4,NA L2-E-4,Kalkrik grov innsjø-sedimentbunn
105,L2-E-5,NA L2-E-5,Turbid eufotisk innsjø-sedimentbunn
106,L3-E-1,NA L3-E-1,Kalkfattig dyp innsjøbunn
107,L3-E-2,NA L3-E-2,Moderat kalkrik dyp innsjøbunn
108,L3-E-3,NA L3-E-3,Svært kalkrik dyp innsjøbunn
109,L4-E-1,NA L4-E-1,Kalkfattig helofyttsump
110,L4-E-2,NA L4-E-2,Moderat kalkrik helofyttsump
111,L4-E-3,NA L4-E-3,Svært kalkrik helofyttsump
112,L5-E-1,NA L5-E-1,Kalkfattig undervannseng i innsjø
113,L5-E-2,NA L5-E-2,Moderat kalkrik undervannseng i innsjø
114,L5-E-3,NA L5-E-3,Svært kalkrik undervannseng i innsjø
115,L5-E-4,NA L5-E-4,Kalkfattig undervannseng i elv
116,L5-E-5,NA L5-E-5,Moderat kalkrik undervannseng i elv
