pid,_id,majorTypeLEC_id,order,detail_id,lec_id,majorType_id,selected
163,T4-SU.a,T4-SU,1.0,,SU,T-4,0.0
164,T4-RU.0,T4-RU,0.0,,RU,T-4,1.0
165,T4-RU.a,T4-RU,1.0,,RU,T-4,0.0
166,T4-SS.h,T4-SS,0.0,,SS,T-4,1.0
167,T4-SS.i,T4-SS,1.0,,SS,T-4,0.0
168,T4-SS.+,T4-SS,2.0,,SS,T-4,0.0
169,T4-S1.0,T4-S1,0.0,,S1,T-4,1.0
170,T4-S1.bc,T4-S1,1.0,,S1,T-4,0.0
171,T4-S1.de,T4-S1,2.0,,S1,T-4,0.0
172,T4-S1.fg,T4-S1,3.0,,S1,T-4,0.0
173,T4-S1.hi,T4-S1,4.0,,S1,T-4,0.0
174,T4-VM.0a,T4-VM,0.0,,VM,T-4,1.0
175,T4-VM.b,T4-VM,1.0,,VM,T-4,0.0
176,T4-VS.0,T4-VS,0.0,,VS,T-4,1.0
177,T4-VS.a,T4-VS,1.0,,VS,T-4,0.0
178,T4-SA.0,T4-SA,0.0,,SA,T-4,1.0
179,T4-SA.ab,T4-SA,1.0,,SA,T-4,0.0
180,T4-UE.0a,T4-UE,0.0,,UE,T-4,1.0
181,T4-UE.bcdefg,T4-UE,1.0,,UE,T-4,0.0
182,V11-KA.abcd,V11-KA,0.0,,KA,V-11,1.0
183,V11-KA.efghi,V11-KA,1.0,,KA,V-11,0.0
184,T9-KA.cde,T9-KA,0.0,,KA,T-9,1.0
185,T9-KA.fghi,T9-KA,1.0,,KA,T-9,0.0
186,T9-VM.0a,T9-VM,0.0,,VM,T-9,1.0
187,T9-VM.b,T9-VM,1.0,,VM,T-9,0.0
188,V12-VT.0,V12-VT,0.0,,VT,V-12,1.0
189,V12-VT.a,V12-VT,1.0,,VT,V-12,0.0
190,V12-KA.abcd,V12-KA,0.0,,KA,V-12,1.0
191,V12-KA.efghi,V12-KA,1.0,,KA,V-12,0.0
192,T3-KA.abc,T3-KA,0.0,,KA,T-3,1.0
193,T3-KA.de,T3-KA,1.0,,KA,T-3,0.0
194,T3-KA.fg,T3-KA,2.0,,KA,T-3,0.0
195,T3-KA.hi,T3-KA,3.0,,KA,T-3,0.0
196,T3-UF.bc,T3-UF,0.0,,UF,T-3,1.0
197,T3-UF.de,T3-UF,1.0,,UF,T-3,0.0
