pid,_id,majorType_id,detail_id
663,V10-1,V-10,minor_type_V10-1
664,V10-2,V-10,minor_type_V10-2
665,V10-3,V-10,minor_type_V10-3
666,V11-1,V-11,minor_type_V11-1
667,V11-2,V-11,minor_type_V11-2
668,V12-1,V-12,minor_type_V12-1
669,V12-2,V-12,minor_type_V12-2
670,V12-3,V-12,minor_type_V12-3
671,V13-1,V-13,minor_type_V13-1
672,V13-2,V-13,minor_type_V13-2
673,V13-3,V-13,minor_type_V13-3
674,V13-4,V-13,minor_type_V13-4
675,V13-5,V-13,minor_type_V13-5
676,V13-6,V-13,minor_type_V13-6
677,V13-7,V-13,minor_type_V13-7
678,V13-8,V-13,minor_type_V13-8
679,H1-1,H-1,minor_type_H1-1
680,H1-2,H-1,minor_type_H1-2
681,H1-3,H-1,minor_type_H1-3
682,H1-4,H-1,minor_type_H1-4
683,H1-5,H-1,minor_type_H1-5
684,H2-1,H-2,minor_type_H2-1
685,H2-2,H-2,minor_type_H2-2
686,H2-3,H-2,minor_type_H2-3
687,H2-4,H-2,minor_type_H2-4
688,H2-5,H-2,minor_type_H2-5
689,H2-6,H-2,minor_type_H2-6
690,H2-7,H-2,minor_type_H2-7
691,H2-8,H-2,minor_type_H2-8
692,H4-1,H-4,minor_type_H4-1
693,H4-2,H-4,minor_type_H4-2
694,H4-3,H-4,minor_type_H4-3
695,H4-4,H-4,minor_type_H4-4
696,F1-1,F-1,minor_type_F1-1
697,F1-2,F-1,minor_type_F1-2
698,F1-3,F-1,minor_type_F1-3
699,F1-4,F-1,minor_type_F1-4
700,F1-5,F-1,minor_type_F1-5
701,F1-6,F-1,minor_type_F1-6
702,F2-1,F-2,minor_type_F2-1
703,F2-2,F-2,minor_type_F2-2
704,F2-3,F-2,minor_type_F2-3
705,F2-4,F-2,minor_type_F2-4
706,F2-5,F-2,minor_type_F2-5
707,F2-6,F-2,minor_type_F2-6
708,F2-7,F-2,minor_type_F2-7
709,F2-8,F-2,minor_type_F2-8
710,F2-9,F-2,minor_type_F2-9
711,F2-10,F-2,minor_type_F2-10
712,F2-11,F-2,minor_type_F2-11
713,F2-12,F-2,minor_type_F2-12
714,F2-13,F-2,minor_type_F2-13
715,F2-14,F-2,minor_type_F2-14
716,F2-15,F-2,minor_type_F2-15
717,F2-16,F-2,minor_type_F2-16
718,F2-17,F-2,minor_type_F2-17
719,F2-18,F-2,minor_type_F2-18
720,F2-19,F-2,minor_type_F2-19
721,F2-20,F-2,minor_type_F2-20
722,F2-21,F-2,minor_type_F2-21
723,F4-1,F-4,minor_type_F4-1
724,F4-2,F-4,minor_type_F4-2
725,F4-3,F-4,minor_type_F4-3
726,F5-1,F-5,minor_type_F5-1
727,F5-2,F-5,minor_type_F5-2
728,F5-3,F-5,minor_type_F5-3
729,F5-4,F-5,minor_type_F5-4
