,pid,standardSegment_id,elementarySegment_id
154,155,T11-TV.0abcdefghijk,TV.g
155,156,T11-TV.0abcdefghijk,TV.h
156,157,T11-TV.0abcdefghijk,TV.i
157,158,T11-TV.0abcdefghijk,TV.j
158,159,T11-TV.0abcdefghijk,TV.k
159,160,T11-SF.b¤,SF.b
160,161,T11-SF.b¤,SF.¤
161,162,T40-SX.i,SX.i
162,163,T40-MB.0,MB.0
163,164,T45-SX.l,SX.l
164,165,T45-MB.+,MB.+
165,166,T24-TV.k,TV.k
166,167,T24-IO.¤,IO.¤
167,168,T24-SA.abcdef+,SA.a
168,169,T24-SA.abcdef+,SA.b
169,170,T24-SA.abcdef+,SA.c
170,171,T24-SA.abcdef+,SA.d
171,172,T24-SA.abcdef+,SA.e
172,173,T24-SA.abcdef+,SA.f
173,174,T24-SA.abcdef+,SA.+
174,175,T38-SX.e,SX.e
175,176,T16-RU.bcde¤,RU.b
176,177,T16-RU.bcde¤,RU.c
177,178,T16-RU.bcde¤,RU.d
178,179,T16-RU.bcde¤,RU.e
179,180,T16-RU.bcde¤,RU.¤
180,181,F4-SY.abc,SY.a
181,182,F4-SY.abc,SY.b
182,183,F4-SY.abc,SY.c
183,184,T10-AS.a,AS.a
184,185,M10-GS.abcd¤,GS.a
185,186,M10-GS.abcd¤,GS.b
186,187,M10-GS.abcd¤,GS.c
187,188,M10-GS.abcd¤,GS.d
188,189,M10-GS.abcd¤,GS.¤
189,190,T21-SS.0abcdefghi,SS.0
190,191,T21-SS.0abcdefghi,SS.a
191,192,T21-SS.0abcdefghi,SS.b
192,193,T21-SS.0abcdefghi,SS.c
193,194,T21-SS.0abcdefghi,SS.d
194,195,T21-SS.0abcdefghi,SS.e
195,196,T21-SS.0abcdefghi,SS.f
196,197,T21-SS.0abcdefghi,SS.g
197,198,T21-SS.0abcdefghi,SS.h
198,199,T21-SS.0abcdefghi,SS.i
199,200,T14-VI.abc¤,VI.a
200,201,T14-VI.abc¤,VI.b
201,202,T14-VI.abc¤,VI.c
202,203,T14-VI.abc¤,VI.¤
