,pid,majorTypeLEC_id,majorType_id,lec_id,species_id,value
146,147,T4-VM,T4,VM,99961,1
147,148,T4-RU,T4,RU,99972,1
148,149,T4-UE,T4,UE,99972,1
149,150,T4-HI,T4,HI,99983,3
150,151,T4-VM,T4,VM,99986,1
151,152,T4-HI,T4,HI,99986,1
152,153,T4-RU,T4,RU,99986,1
153,154,T4-SU,T4,SU,99986,1
154,155,T4-HI,T4,HI,99989,3
155,156,T4-VS,T4,VS,99989,2
156,157,T4-RU,T4,RU,100011,1
157,158,T4-VM,T4,VM,100023,-1
158,159,T4-HI,T4,HI,100023,2
159,160,T4-RU,T4,RU,100023,1
160,161,T4-UE,T4,UE,100043,-1
161,162,T4-HI,T4,HI,100047,3
162,163,T4-RU,T4,RU,100047,1
163,164,T4-SU,T4,SU,100047,1
164,165,T4-UE,T4,UE,100098,-1
165,166,T4-HI,T4,HI,100101,1
166,167,T4-RU,T4,RU,100101,1
167,168,T4-VM,T4,VM,100103,3
168,169,T4-HI,T4,HI,100103,1
169,170,T4-VS,T4,VS,100103,1
170,171,T4-HI,T4,HI,100105,2
171,172,T4-RU,T4,RU,100137,1
172,173,T4-HI,T4,HI,100140,3
173,174,T4-VM,T4,VM,100151,-2
174,175,T4-UE,T4,UE,100151,-1
175,176,T4-VM,T4,VM,100152,-1
176,177,T4-RU,T4,RU,100152,1
177,178,T4-VM,T4,VM,100159,-2
178,179,T4-RU,T4,RU,100159,1
179,180,T4-SU,T4,SU,100159,1
180,181,T4-UE,T4,UE,100159,-1
181,182,T4-VM,T4,VM,100161,-1
182,183,T4-HI,T4,HI,100161,2
183,184,T4-RU,T4,RU,100161,1
184,185,T4-VM,T4,VM,100167,1
185,186,T4-VM,T4,VM,100169,1
186,187,T4-HI,T4,HI,100169,2
187,188,T4-VM,T4,VM,100192,1
188,189,T4-RU,T4,RU,100192,1
189,190,T4-VM,T4,VM,100193,-1
190,191,T4-HI,T4,HI,100193,2
191,192,T4-HI,T4,HI,100252,2
192,193,T4-VM,T4,VM,100268,1
193,194,T4-UE,T4,UE,100268,1
194,195,T4-HI,T4,HI,100272,3
195,196,T4-VM,T4,VM,100358,-2
196,197,T4-HI,T4,HI,100358,3
197,198,T4-RU,T4,RU,100358,1
198,199,T4-SS,T4,SS,100358,1
199,200,T4-UE,T4,UE,100358,-1
200,201,T4-VM,T4,VM,100360,1
201,202,T4-VM,T4,VM,100366,-2
202,203,T4-UE,T4,UE,100366,-1
203,204,T4-HI,T4,HI,100392,2
204,205,T4-HI,T4,HI,100396,1
205,206,T4-HI,T4,HI,100411,1
206,207,T4-UE,T4,UE,100411,-1
207,208,T4-VM,T4,VM,100437,-2
208,209,T4-UE,T4,UE,100437,-1
209,210,T4-HI,T4,HI,100466,2
210,211,T4-RU,T4,RU,100466,1
211,212,T4-VM,T4,VM,100474,-1
212,213,T4-UE,T4,UE,100474,-1
213,214,T4-VM,T4,VM,100488,-1
214,215,T4-HI,T4,HI,100488,2
215,216,T4-RU,T4,RU,100488,1
216,217,T4-UE,T4,UE,100488,-1
217,218,T4-VM,T4,VM,100499,-1
218,219,T4-HI,T4,HI,100499,1
219,220,T4-UE,T4,UE,100499,-1
220,221,T4-VM,T4,VM,100504,1
221,222,T4-UE,T4,UE,100504,1
222,223,T4-VM,T4,VM,100515,1
223,224,T4-RU,T4,RU,100515,1
224,225,T4-UE,T4,UE,100515,1
225,226,T4-VM,T4,VM,100517,1
226,227,T4-HI,T4,HI,100517,1
227,228,T4-VM,T4,VM,100540,1
228,229,T4-VM,T4,VM,100544,-1
229,230,T4-RU,T4,RU,100544,2
230,231,T4-UE,T4,UE,100544,-1
231,232,T4-HI,T4,HI,100593,1
232,233,T4-VM,T4,VM,100651,-1
233,234,T4-UE,T4,UE,100651,-1
234,235,T4-VM,T4,VM,100687,-2
235,236,T4-HI,T4,HI,100687,2
236,237,T4-RU,T4,RU,100687,2
237,238,T4-SS,T4,SS,100687,1
238,239,T4-UE,T4,UE,100687,-1
239,240,T4-HI,T4,HI,100708,1
240,241,T4-UE,T4,UE,100708,-1
241,242,T4-VM,T4,VM,100715,-1
242,243,T4-HI,T4,HI,100722,1
243,244,T4-RU,T4,RU,100722,2
244,245,T4-VM,T4,VM,100731,-1
245,246,T4-HI,T4,HI,100731,1
246,247,T4-HI,T4,HI,100754,2
247,248,T4-HI,T4,HI,100756,2
248,249,T4-RU,T4,RU,100756,1
249,250,T4-RU,T4,RU,100783,1
250,251,T4-HI,T4,HI,100788,2
251,252,T4-HI,T4,HI,100848,1
252,253,T4-HI,T4,HI,100869,2
253,254,T4-VM,T4,VM,100912,1
254,255,T4-HI,T4,HI,100912,1
255,256,T4-RU,T4,RU,100912,1
256,257,T4-VM,T4,VM,100929,-1
257,258,T4-HI,T4,HI,100929,1
258,259,T4-RU,T4,RU,100929,1
259,260,T4-UE,T4,UE,100929,-1
260,261,T4-VM,T4,VM,100934,1
261,262,T4-HI,T4,HI,100934,1
262,263,T4-VM,T4,VM,100939,-1
263,264,T4-HI,T4,HI,100939,1
264,265,T4-UE,T4,UE,100939,-1
265,266,T4-VM,T4,VM,100944,-3
266,267,T4-HI,T4,HI,100944,1
267,268,T4-RU,T4,RU,100944,1
268,269,T4-BK,T4,BK,100944,1
269,270,T4-HI,T4,HI,100948,1
270,271,T4-VM,T4,VM,101008,-1
271,272,T4-RU,T4,RU,101008,1
272,273,T4-UE,T4,UE,101008,-1
273,274,T4-VM,T4,VM,101081,-1
274,275,T4-RU,T4,RU,101081,1
275,276,T4-UE,T4,UE,101081,-1
276,277,T4-VM,T4,VM,101088,-2
277,278,T4-RU,T4,RU,101088,1
278,279,T4-UE,T4,UE,101088,-1
279,280,T4-VM,T4,VM,101103,-1
280,281,T4-HI,T4,HI,101103,1
281,282,T4-VM,T4,VM,101144,1
282,283,T4-RU,T4,RU,101146,1
283,284,T4-VM,T4,VM,101147,1
284,285,T4-HI,T4,HI,101198,1
285,286,T4-RU,T4,RU,101198,1
286,287,T4-UE,T4,UE,101198,-1
287,288,T4-VM,T4,VM,101323,-1
288,289,T4-RU,T4,RU,101323,1
289,290,T4-UE,T4,UE,101323,-1
290,291,T4-VM,T4,VM,101450,-1
291,292,T4-RU,T4,RU,101450,1
292,293,T4-SS,T4,SS,101450,1
293,294,T4-VM,T4,VM,101455,-1
294,295,T4-RU,T4,RU,101455,2
295,296,T4-UE,T4,UE,101455,-1
296,297,T4-HI,T4,HI,101469,2
297,298,T4-RU,T4,RU,101524,1
298,299,T4-UE,T4,UE,101524,-1
299,300,T4-RU,T4,RU,101550,1
300,301,T4-SS,T4,SS,101550,1
301,302,T4-UE,T4,UE,101550,-1
302,303,T4-VM,T4,VM,101557,-1
303,304,T4-HI,T4,HI,101557,2
304,305,T4-RU,T4,RU,101557,-1
305,306,T4-VM,T4,VM,101565,-2
306,307,T4-UE,T4,UE,101565,-1
307,308,T4-VM,T4,VM,101580,-1
308,309,T4-RU,T4,RU,101580,1
309,310,T4-VM,T4,VM,101589,1
310,311,T4-HI,T4,HI,101594,3
311,312,T4-RU,T4,RU,101594,1
312,313,T4-VM,T4,VM,101598,-1
313,314,T4-RU,T4,RU,101598,1
314,315,T4-UE,T4,UE,101598,-1
315,316,T4-VM,T4,VM,101601,1
316,317,T4-HI,T4,HI,101601,3
317,318,T4-VM,T4,VM,101611,-1
318,319,T4-RU,T4,RU,101611,1
319,320,T4-UE,T4,UE,101611,-1
320,321,T4-VM,T4,VM,101658,2
321,322,T4-VM,T4,VM,101666,1
322,323,T4-HI,T4,HI,101666,-1
323,324,T4-VS,T4,VS,101666,1
324,325,T4-UE,T4,UE,101666,1
325,326,T4-HI,T4,HI,101703,2
326,327,T4-RU,T4,RU,101703,1
327,328,T4-VM,T4,VM,101706,1
328,329,T4-RU,T4,RU,101706,1
329,330,T4-SU,T4,SU,101706,1
330,331,T4-VM,T4,VM,101719,-2
331,332,T4-RU,T4,RU,101719,1
332,333,T4-UE,T4,UE,101719,-1
333,334,T4-VM,T4,VM,101736,-1
334,335,T4-HI,T4,HI,101736,3
335,336,T4-UE,T4,UE,101736,-1
336,337,T4-VM,T4,VM,101740,1
337,338,T4-HI,T4,HI,101740,1
338,339,T4-UE,T4,UE,101740,1
339,340,T4-VM,T4,VM,101743,-1
340,341,T4-HI,T4,HI,101743,-1
341,342,T4-VM,T4,VM,101748,1
342,343,T4-RU,T4,RU,101748,2
343,344,T4-SU,T4,SU,101748,1
344,345,T4-VM,T4,VM,101762,1
345,346,T4-HI,T4,HI,101762,1
346,347,T4-VM,T4,VM,101771,-2
347,348,T4-RU,T4,RU,101771,1
348,349,T4-HI,T4,HI,101775,-1
349,350,T4-RU,T4,RU,101775,-1
350,351,T4-SS,T4,SS,101775,-1
351,352,T4-UE,T4,UE,101775,-1
352,353,T4-VM,T4,VM,101781,-1
353,354,T4-VM,T4,VM,101783,-1
354,355,T4-HI,T4,HI,101783,-2
355,356,T4-SS,T4,SS,101783,1
356,357,T4-UE,T4,UE,101795,1
357,358,T4-VM,T4,VM,101798,-1
358,359,T4-VM,T4,VM,101799,-1
359,360,T4-VM,T4,VM,101808,-1
360,361,T4-VM,T4,VM,101825,-2
361,362,T4-HI,T4,HI,101825,-2
362,363,T4-RU,T4,RU,101825,-2
363,364,T4-SU,T4,SU,101825,-3
364,365,T4-SS,T4,SS,101825,-1
365,366,T4-UE,T4,UE,101825,1
366,367,T4-VM,T4,VM,101826,2
367,368,T4-HI,T4,HI,101826,-1
368,369,T4-UE,T4,UE,101826,1
369,370,T4-VM,T4,VM,101829,-1
370,371,T4-HI,T4,HI,101829,-1
371,372,T4-SU,T4,SU,101829,-1
372,373,T4-VM,T4,VM,101869,-1
373,374,T4-HI,T4,HI,101869,1
374,375,T4-UE,T4,UE,101869,-1
375,376,T4-VM,T4,VM,101883,-1
376,377,T4-HI,T4,HI,101883,2
377,378,T4-UE,T4,UE,101883,-1
378,379,T4-VM,T4,VM,101891,-2
379,380,T4-HI,T4,HI,101891,1
380,381,T4-RU,T4,RU,101891,1
381,382,T4-UE,T4,UE,101891,-1
382,383,T4-VM,T4,VM,101903,-1
383,384,T4-UE,T4,UE,101903,-1
384,385,T4-VM,T4,VM,101952,-1
385,386,T4-HI,T4,HI,101952,1
386,387,T4-RU,T4,RU,101952,1
387,388,T4-UE,T4,UE,101952,-1
388,389,T4-VM,T4,VM,101953,-1
389,390,T4-RU,T4,RU,101953,1
390,391,T4-UE,T4,UE,101953,-1
391,392,T4-HI,T4,HI,101960,2
392,393,T4-VM,T4,VM,101962,-1
393,394,T4-RU,T4,RU,101962,1
394,395,T4-UE,T4,UE,101962,-1
395,396,T4-VM,T4,VM,101964,-1
396,397,T4-HI,T4,HI,101964,-1
397,398,T4-RU,T4,RU,101964,2
398,399,T4-SU,T4,SU,101964,1
399,400,T4-UE,T4,UE,101964,-1
400,401,T4-VM,T4,VM,101969,-1
401,402,T4-HI,T4,HI,101969,1
402,403,T4-RU,T4,RU,101969,1
403,404,T4-SS,T4,SS,101969,1
404,405,T4-VM,T4,VM,102058,-1
405,406,T4-HI,T4,HI,102058,1
406,407,T4-HI,T4,HI,102063,2
407,408,T4-HI,T4,HI,102064,3
408,409,T4-HI,T4,HI,102091,2
409,410,T4-RU,T4,RU,102091,2
410,411,T4-UE,T4,UE,102091,-1
411,412,T4-VM,T4,VM,102108,-1
412,413,T4-RU,T4,RU,102108,1
413,414,T4-UE,T4,UE,102108,-1
414,415,T4-VM,T4,VM,102113,-2
415,416,T4-HI,T4,HI,102113,2
416,417,T4-RU,T4,RU,102113,1
417,418,T4-UE,T4,UE,102113,-1
418,419,T4-VM,T4,VM,102116,-2
419,420,T4-HI,T4,HI,102116,1
420,421,T4-RU,T4,RU,102116,1
421,422,T4-UE,T4,UE,102116,-1
422,423,T4-HI,T4,HI,102124,1
423,424,T4-VM,T4,VM,102126,1
424,425,T4-HI,T4,HI,102126,1
425,426,T4-VM,T4,VM,102131,1
426,427,T4-HI,T4,HI,102132,1
427,428,T4-RU,T4,RU,102132,1
428,429,T4-SU,T4,SU,102132,1
429,430,T4-VM,T4,VM,102139,-1
430,431,T4-UE,T4,UE,102139,-1
431,432,T4-RU,T4,RU,102142,1
432,433,T4-VM,T4,VM,102150,-2
433,434,T4-UE,T4,UE,102150,-1
434,435,T4-VM,T4,VM,102156,-1
435,436,T4-RU,T4,RU,102156,-1
436,437,T4-UE,T4,UE,102156,-1
437,438,T4-VM,T4,VM,102206,1
438,439,T4-HI,T4,HI,102206,1
439,440,T4-RU,T4,RU,102206,1
440,441,T4-HI,T4,HI,102208,1
441,442,T4-VM,T4,VM,102212,-1
442,443,T4-RU,T4,RU,102212,1
443,444,T4-UE,T4,UE,102212,-1
444,445,T4-VM,T4,VM,102213,1
445,446,T4-RU,T4,RU,102224,1
