pid,_id,elementarySegment_id,majorType_id,lec_id,standardSegment_id
115,SM.b,SM.b,F-5,SM,F5-SM.bc
116,SM.c,SM.c,F-5,SM,F5-SM.bc
117,SM.d,SM.d,F-5,SM,F5-SM.def
118,SM.g,SM.g,F-5,SM,F5-SM.ghi
119,SM.h,SM.h,F-5,SM,F5-SM.ghi
120,SM.i,SM.i,F-5,SM,F5-SM.ghi
121,SM.¤,SM.¤,F-5,SM,F5-SM.¤
122,SM.e,SM.e,F-5,SM,F5-SM.def
123,SM.f,SM.f,F-5,SM,F5-SM.def
124,SY.0,SY.0,F-5,SY,
125,SY.a,SY.a,F-5,SY,F5-SY.a
126,SY.b,SY.b,F-5,SY,F5-SY.b
127,SY.c,SY.c,F-5,SY,F5-SY.c
128,SY.d,SY.d,F-5,SY,F5-SY.d
129,TU.0,TU.0,F-5,TU,F5-TU.0
130,TU.a,TU.a,F-5,TU,F5-TU.a
131,DM.0,DM.0,H-1,DM,H1-DM.0
132,DM.a,DM.a,H-1,DM,H1-DM.a
133,DM.b,DM.b,H-1,DM,H1-DM.bcd
134,DM.c,DM.c,H-1,DM,H1-DM.bcd
135,DM.d,DM.d,H-1,DM,H1-DM.bcd
136,DM.e,DM.e,H-1,DM,H1-DM.ef
137,DM.f,DM.f,H-1,DM,H1-DM.ef
138,JV.0,JV.0,H-1,JV,H1-JV.0a
139,JV.a,JV.a,H-1,JV,H1-JV.0a
140,JV.b,JV.b,H-1,JV,H1-JV.bcde¤
141,JV.c,JV.c,H-1,JV,H1-JV.bcde¤
142,JV.¤,JV.¤,H-1,JV,H1-JV.bcde¤
143,JV.d,JV.d,H-1,JV,H1-JV.bcde¤
144,JV.e,JV.e,H-1,JV,H1-JV.bcde¤
145,KY.0,KY.0,H-1,KY,H1-KY.0
146,KY.a,KY.a,H-1,KY,H1-KY.a
147,SA.0,SA.0,H-2,SA,
148,SA.a,SA.a,H-2,SA,H2-SA.abc
149,SA.f,SA.f,H-2,SA,H2-SA.def
150,SA.+,SA.+,H-2,SA,
151,SA.b,SA.b,H-2,SA,H2-SA.abc
152,SA.c,SA.c,H-2,SA,H2-SA.abc
153,SA.d,SA.d,H-2,SA,H2-SA.def
154,SA.e,SA.e,H-2,SA,H2-SA.def
155,SM.0,SM.0,H-2,SM,
