pid,elementarySegmentGroup_id,lec_id,value,detail_id
175,SS.j,SS,j,elementary_segment_SS.j
176,SS.k,SS,k,elementary_segment_SS.k
177,SS.+,SS,+,elementary_segment_SS.+
178,UF.a,UF,a,elementary_segment_UF.a
179,UF.b,UF,b,elementary_segment_UF.b
180,UF.c,UF,c,elementary_segment_UF.c
181,UF.d,UF,d,elementary_segment_UF.d
182,UF.e,UF,e,elementary_segment_UF.e
183,UF.f,UF,f,elementary_segment_UF.f
184,UF.g,UF,g,elementary_segment_UF.g
185,UF.h,UF,h,elementary_segment_UF.h
